,SequenceA,SequenceB,Similarity,Complementarity
0,0,0,0,3
1,0,1,3,3
2,0,2,3,3
3,0,3,3,3
4,0,4,2,2
5,0,5,1,1
6,0,6,4,3
7,0,7,2,2
8,0,8,3,3
9,0,9,3,3
10,0,10,2,2
11,0,11,0,3
12,0,12,2,2
13,0,13,3,3
14,0,14,2,2
15,0,15,2,2
16,0,16,1,1
17,0,17,1,1
18,0,18,1,1
19,0,19,1,1
20,0,20,1,1
21,0,21,1,2
22,0,22,2,2
23,0,23,2,2
24,0,24,4,3
25,0,25,3,3
26,0,26,3,3
27,0,27,1,1
28,0,28,4,3
29,0,29,4,3
30,0,30,3,3
31,0,31,4,3
32,0,32,3,4
33,0,33,1,2
34,0,34,0,3
35,0,35,2,2
36,0,36,2,2
37,0,37,2,2
38,0,38,4,5
39,0,39,2,2
40,0,40,2,2
41,0,41,3,3
42,0,42,3,3
43,0,43,2,2
44,0,44,3,7
45,0,45,0,3
46,0,46,0,3
47,0,47,2,2
48,0,48,2,2
49,0,49,4,3
50,0,50,4,3
51,0,51,3,3
52,0,52,5,3
53,0,53,0,3
54,0,54,0,3
55,0,55,3,3
56,0,56,2,2
57,0,57,6,3
58,0,58,2,2
59,0,59,4,4
60,0,60,1,1
61,0,61,3,3
62,0,62,0,3
63,0,63,1,6
64,0,64,3,4
65,0,65,3,3
66,0,66,2,1
67,0,67,2,1
68,0,68,3,3
69,0,69,1,1
70,0,70,5,3
71,0,71,3,3
72,0,72,2,2
73,0,73,3,3
74,0,74,3,4
75,0,75,2,1
76,0,76,3,1
77,0,77,5,3
78,0,78,3,5
79,0,79,3,3
80,0,80,2,2
81,0,81,3,3
82,0,82,2,2
83,0,83,3,4
84,0,84,3,5
85,0,85,3,3
86,0,86,4,2
87,0,87,0,3
88,0,88,2,2
89,0,89,4,3
90,0,90,2,2
91,0,91,1,1
92,0,92,4,3
93,0,93,4,3
94,0,94,3,3
95,0,95,0,3
96,0,96,0,3
97,0,97,3,4
98,0,98,3,3
99,0,99,1,1
100,0,100,2,2
101,0,101,2,2
102,0,102,0,3
103,0,103,0,3
104,0,104,3,3
105,0,105,5,3
106,0,106,3,3
107,0,107,3,4
108,0,108,7,3
109,0,109,2,2
110,0,110,0,3
111,0,111,3,3
112,0,112,3,3
113,0,113,2,2
114,0,114,2,2
115,0,115,3,3
116,0,116,2,2
117,0,117,1,1
118,0,118,2,2
119,0,119,1,1
120,0,120,0,3
121,0,121,0,3
122,0,122,3,5
123,0,123,3,4
124,0,124,5,7
125,0,125,3,4
126,0,126,3,3
127,0,127,1,1
128,0,128,6,5
129,0,129,3,3
130,0,130,2,2
131,0,131,0,3
132,0,132,4,3
133,0,133,3,5
134,0,134,4,3
135,0,135,4,3
136,0,136,2,2
137,0,137,1,1
138,0,138,3,4
139,0,139,4,4
140,0,140,2,2
141,0,141,3,3
142,0,142,3,3
143,0,143,3,3
144,0,144,1,1
145,0,145,4,3
146,0,146,1,1
147,0,147,1,1
148,0,148,3,5
149,0,149,1,1
150,0,150,2,2
151,0,151,1,1
152,0,152,4,3
153,0,153,1,1
154,0,154,1,4
155,0,155,5,3
156,0,156,2,2
157,0,157,2,2
158,0,158,2,2
159,0,159,4,4
160,0,160,3,4
161,0,161,1,3
162,0,162,2,2
163,0,163,3,3
164,0,164,2,2
165,0,165,2,2
166,0,166,4,3
167,0,167,2,2
168,0,168,3,5
169,0,169,3,1
170,0,170,2,3
171,0,171,4,3
172,0,172,3,5
173,0,173,1,1
174,0,174,2,2
175,0,175,3,3
176,0,176,1,3
177,0,177,4,3
178,0,178,1,1
179,0,179,3,3
180,0,180,1,1
181,0,181,1,2
182,0,182,3,4
183,0,183,1,1
184,0,184,5,3
185,0,185,2,2
186,0,186,3,3
187,0,187,4,3
188,0,188,4,3
189,0,189,2,2
190,0,190,2,1
191,0,191,4,2
192,0,192,2,2
193,0,193,4,3
194,0,194,4,3
195,0,195,2,2
196,0,196,1,1
197,0,197,3,3
198,0,198,2,2
199,0,199,3,3
200,0,200,2,2
201,0,201,3,3
202,0,202,3,4
203,0,203,2,1
204,0,204,0,3
205,0,205,3,3
206,0,206,3,3
207,0,207,3,6
208,0,208,1,1
209,0,209,1,1
210,0,210,5,5
211,0,211,0,3
212,0,212,0,3
213,0,213,1,1
214,0,214,2,2
215,0,215,1,1
216,0,216,3,3
217,0,217,3,5
218,0,218,2,2
219,0,219,0,3
220,0,220,0,3
221,0,221,3,5
222,0,222,2,2
223,0,223,0,3
224,0,224,3,2
225,0,225,1,1
226,0,226,1,1
227,0,227,4,6
228,0,228,4,3
229,0,229,3,3
230,0,230,1,1
231,0,231,1,1
232,0,232,1,1
233,0,233,4,3
234,0,234,3,3
235,0,235,3,3
236,0,236,1,1
237,0,237,2,3
238,1,0,3,3
239,1,1,0,3
240,1,2,2,2
241,1,3,0,3
242,1,4,2,3
243,1,5,0,3
244,1,6,3,2
245,1,7,3,4
246,1,8,4,2
247,1,9,1,2
248,1,10,0,3
249,1,11,2,2
250,1,12,3,4
251,1,13,2,4
252,1,14,2,2
253,1,15,3,2
254,1,16,0,3
255,1,17,4,6
256,1,18,3,3
257,1,19,3,2
258,1,20,3,2
259,1,21,2,2
260,1,22,4,2
261,1,23,2,2
262,1,24,3,4
263,1,25,4,3
264,1,26,1,4
265,1,27,2,4
266,1,28,2,2
267,1,29,2,3
268,1,30,4,2
269,1,31,3,5
270,1,32,2,2
271,1,33,3,3
272,1,34,3,3
273,1,35,2,3
274,1,36,4,1
275,1,37,3,2
276,1,38,4,5
277,1,39,3,4
278,1,40,2,2
279,1,41,2,2
280,1,42,2,2
281,1,43,2,3
282,1,44,4,2
283,1,45,2,2
284,1,46,2,2
285,1,47,2,2
286,1,48,4,3
287,1,49,3,3
288,1,50,3,2
289,1,51,2,2
290,1,52,0,3
291,1,53,2,2
292,1,54,2,2
293,1,55,2,2
294,1,56,3,2
295,1,57,0,3
296,1,58,2,3
297,1,59,4,2
298,1,60,0,3
299,1,61,0,3
300,1,62,3,2
301,1,63,3,2
302,1,64,2,2
303,1,65,2,2
304,1,66,2,2
305,1,67,2,2
306,1,68,3,3
307,1,69,0,3
308,1,70,3,2
309,1,71,3,4
310,1,72,3,2
311,1,73,0,3
312,1,74,0,3
313,1,75,3,2
314,1,76,2,2
315,1,77,3,2
316,1,78,4,3
317,1,79,2,5
318,1,80,2,2
319,1,81,2,5
320,1,82,2,2
321,1,83,3,1
322,1,84,2,3
323,1,85,1,2
324,1,86,2,2
325,1,87,3,2
326,1,88,5,3
327,1,89,6,1
328,1,90,1,2
329,1,91,2,2
330,1,92,0,3
331,1,93,2,3
332,1,94,2,3
333,1,95,3,3
334,1,96,2,2
335,1,97,0,3
336,1,98,0,3
337,1,99,2,3
338,1,100,2,2
339,1,101,2,4
340,1,102,2,3
341,1,103,3,2
342,1,104,3,2
343,1,105,2,2
344,1,106,2,2
