,Na,Mg,Strand,Timestamp,Temperature
0,30,8,DNA,0.0,83.0
1,30,8,DNA,1.0042194092827004,83.0
2,30,8,DNA,2.0084388185654007,82.0
3,30,8,DNA,3.0126582278481013,82.0
4,30,8,DNA,4.0168776371308015,81.0
5,30,8,DNA,5.021097046413502,81.0
6,30,8,DNA,6.025316455696203,80.875
7,30,8,DNA,7.029535864978903,80.75
8,30,8,DNA,8.033755274261603,80.625
9,30,8,DNA,9.037974683544304,80.5
10,30,8,DNA,10.042194092827003,80.375
11,30,8,DNA,11.046413502109704,80.25
12,30,8,DNA,12.050632911392405,80.125
13,30,8,DNA,13.054852320675105,80.0
14,30,8,DNA,14.059071729957806,80.0
15,30,8,DNA,15.063291139240505,79.83333333333333
16,30,8,DNA,16.067510548523206,79.66666666666667
17,30,8,DNA,17.071729957805907,79.5
18,30,8,DNA,18.075949367088608,79.33333333333333
19,30,8,DNA,19.080168776371305,79.16666666666667
20,30,8,DNA,20.084388185654007,79.0
21,30,8,DNA,21.088607594936708,79.0
22,30,8,DNA,22.09282700421941,78.9375
23,30,8,DNA,23.09704641350211,78.875
24,30,8,DNA,24.10126582278481,78.8125
25,30,8,DNA,25.105485232067508,78.75
26,30,8,DNA,26.10970464135021,78.6875
27,30,8,DNA,27.11392405063291,78.625
28,30,8,DNA,28.11814345991561,78.5625
29,30,8,DNA,29.122362869198312,78.5
30,30,8,DNA,30.12658227848101,78.4375
31,30,8,DNA,31.13080168776371,78.375
32,30,8,DNA,32.13502109704641,78.3125
33,30,8,DNA,33.13924050632911,78.25
34,30,8,DNA,34.143459915611814,78.1875
35,30,8,DNA,35.14767932489451,78.125
36,30,8,DNA,36.151898734177216,78.0625
37,30,8,DNA,37.15611814345991,78.0
38,30,8,DNA,38.16033755274261,78.0
39,30,8,DNA,39.164556962025316,77.9090909090909
40,30,8,DNA,40.16877637130801,77.81818181818181
41,30,8,DNA,41.17299578059072,77.72727272727273
42,30,8,DNA,42.177215189873415,77.63636363636364
43,30,8,DNA,43.18143459915611,77.54545454545455
44,30,8,DNA,44.18565400843882,77.45454545454545
45,30,8,DNA,45.189873417721515,77.36363636363636
46,30,8,DNA,46.19409282700422,77.27272727272727
47,30,8,DNA,47.19831223628692,77.18181818181819
48,30,8,DNA,48.20253164556962,77.0909090909091
49,30,8,DNA,49.20675105485232,77.0
50,30,8,DNA,50.210970464135016,77.0
51,30,8,DNA,51.21518987341772,76.88888888888889
52,30,8,DNA,52.21940928270042,76.77777777777777
53,30,8,DNA,53.22362869198312,76.66666666666667
54,30,8,DNA,54.22784810126582,76.55555555555556
55,30,8,DNA,55.23206751054852,76.44444444444444
56,30,8,DNA,56.23628691983122,76.33333333333333
57,30,8,DNA,57.24050632911392,76.22222222222223
58,30,8,DNA,58.244725738396625,76.11111111111111
59,30,8,DNA,59.24894514767932,76.0
60,30,8,DNA,60.25316455696202,76.0
61,30,8,DNA,61.257383966244724,75.95238095238095
62,30,8,DNA,62.26160337552742,75.9047619047619
63,30,8,DNA,63.265822784810126,75.85714285714286
64,30,8,DNA,64.27004219409282,75.80952380952381
65,30,8,DNA,65.27426160337552,75.76190476190476
66,30,8,DNA,66.27848101265822,75.71428571428571
67,30,8,DNA,67.28270042194093,75.66666666666667
68,30,8,DNA,68.28691983122363,75.61904761904762
69,30,8,DNA,69.29113924050633,75.57142857142857
70,30,8,DNA,70.29535864978902,75.52380952380952
71,30,8,DNA,71.29957805907172,75.47619047619048
72,30,8,DNA,72.30379746835443,75.42857142857143
73,30,8,DNA,73.30801687763713,75.38095238095238
74,30,8,DNA,74.31223628691983,75.33333333333333
75,30,8,DNA,75.31645569620252,75.28571428571429
76,30,8,DNA,76.32067510548522,75.23809523809524
77,30,8,DNA,77.32489451476793,75.19047619047619
78,30,8,DNA,78.32911392405063,75.14285714285714
79,30,8,DNA,79.33333333333333,75.0952380952381
80,30,8,DNA,80.33755274261603,75.04761904761905
81,30,8,DNA,81.34177215189872,75.0
82,30,8,DNA,82.34599156118144,75.0
83,30,8,DNA,83.35021097046413,74.92857142857143
84,30,8,DNA,84.35443037974683,74.85714285714286
85,30,8,DNA,85.35864978902953,74.78571428571429
86,30,8,DNA,86.36286919831223,74.71428571428571
